,condition,card2vec,drugName
1001,272,"[0.2630937993526459, 0.28663983941078186, -0.3619932234287262, 0.036805521696805954, 0.3098007142543793, -0.0980696827173233, -0.07627597451210022, 0.17909368872642517, 0.3293101191520691, 0.04756154119968414, 0.48757699131965637, 0.0775027647614479, -0.2447483390569687, -0.8432645797729492, 0.026360299438238144, -0.09973964095115662, -0.21079251170158386, 0.126099094748497, 0.0002465261786710471, 0.3863142132759094, 0.6800504326820374, 0.1489880234003067, -0.1210690513253212, 0.21535561978816986, 0.292481392621994, 0.25347384810447693, -0.1770291030406952, -0.8057119250297546, 0.010959618724882603, 0.5246708989143372, 0.5285395383834839, -0.14824683964252472, -0.8757686614990234, 0.1887805312871933, 0.10252785682678223, 0.3937425911426544, 0.4334198236465454, 0.0226631797850132, -0.5653836131095886, -0.10654771327972412, -0.7403278946876526, 0.30760085582733154, -0.31957441568374634, -0.1591397523880005, 0.16193436086177826, -0.029574599117040634, -0.14662019908428192, 0.402631938457489, -0.26876282691955566, 0.4345787465572357, 0.08425882458686829, -0.17983581125736237, -0.03329705819487572, -0.05440714210271835, 0.197050541639328, 0.09796921908855438, -0.8892794847488403, 0.3065625727176666, 0.2340749204158783, -0.2675459384918213, -0.13740690052509308, 0.043945737183094025, -0.1892697513103485, 0.21906420588493347]",450
1002,272,"[0.07655935734510422, 0.45613130927085876, -0.5300824046134949, 0.7261613607406616, 0.6887091994285583, 0.4304230213165283, -0.21388894319534302, -0.4247397482395172, -0.6002035737037659, 0.2573430836200714, 1.0651031732559204, 0.07701783627271652, 0.4221459925174713, 0.07251328229904175, -0.19431082904338837, -0.359174519777298, 0.6148196458816528, 0.16772708296775818, -0.4333146810531616, -0.036808084696531296, 0.8142661452293396, -0.1918068379163742, -0.8199505805969238, 0.3343314528465271, 0.801034152507782, -0.5932110548019409, -0.7567021250724792, -0.22780875861644745, 0.33721354603767395, 0.900986909866333, -0.7324331998825073, -0.3659418821334839, -0.39614734053611755, 1.4008630514144897, 0.8732076287269592, 0.01724623329937458, 1.004186987876892, 0.5367969870567322, 0.5155264139175415, 0.2584960162639618, 0.8248958587646484, 0.9681234955787659, -0.39494672417640686, 1.031562089920044, 0.5451911091804504, -0.3117881417274475, -0.5873194932937622, 0.12420863658189774, -0.10871755331754684, 0.6093927025794983, -0.3479909598827362, -0.6074224710464478, 0.2175327092409134, -0.8698156476020813, -0.056922368705272675, 0.16143399477005005, -0.688260018825531, 0.10168452560901642, 1.5197516679763794, 0.11741401255130768, 0.34409409761428833, 0.3331027925014496, 0.07122662663459778, 0.6506053805351257]",840
1003,767,"[-0.17049485445022583, 0.09914493560791016, -0.12881608307361603, -0.0879746600985527, 0.5226323008537292, -0.43290600180625916, 0.1761154979467392, -0.3704797327518463, -0.17970164120197296, 0.6084157228469849, 0.5933843851089478, 0.7486305832862854, -0.17880603671073914, -0.6368165612220764, -0.4207117259502411, -0.43123626708984375, -0.19393223524093628, 0.10595891624689102, -0.2688387632369995, -0.13041678071022034, -0.04170555993914604, -0.15839388966560364, 0.4986480474472046, 0.27559804916381836, 0.7348977327346802, -0.0534515455365181, -0.3174705505371094, 0.5313988327980042, -0.30166125297546387, 0.8669649362564087, 0.4441031217575073, -0.060956645756959915, -0.24060380458831787, -0.15506170690059662, -0.09256023913621902, -0.30440205335617065, 0.5950749516487122, 0.3504928648471832, -0.2550588846206665, -0.20134252309799194, -0.41105860471725464, 0.27637794613838196, 0.5711274743080139, -0.29403430223464966, 0.23360487818717957, -0.457250714302063, -0.9913466572761536, -0.4175741374492645, -0.06047284975647926, -0.31341055035591125, -0.028652014210820198, 0.4541901648044586, 0.08535932749509811, -0.5154792666435242, 0.37860333919525146, -0.2894275188446045, -0.3729952275753021, 0.5735816359519958, 0.4504341185092926, 0.2705824375152588, 0.659205973148346, 0.1663556545972824, -0.3944500684738159, 0.17362143099308014]",1847
1004,540,"[-1.68666410446167, 0.6343058943748474, -0.24251264333724976, -0.5887495279312134, -0.024877121672034264, 0.6588491797447205, 0.5999279618263245, -1.0111401081085205, -0.6713348031044006, 0.28670942783355713, 1.1759477853775024, 1.2819112539291382, 0.18733976781368256, -1.03902006149292, -0.6468323469161987, 1.1624037027359009, -0.12923449277877808, 1.1924344301223755, -0.5709375739097595, 0.1451748013496399, 0.504452109336853, -0.9263747930526733, 0.4497608244419098, -0.16886337101459503, 0.5467750430107117, 0.9523581862449646, -0.38743656873703003, 0.17143034934997559, 0.177286759018898, 0.4267972409725189, 1.3565094470977783, 0.30374956130981445, 0.3407064378261566, -1.477942943572998, 0.44644948840141296, -0.4832315146923065, -0.43057283759117126, 1.2692744731903076, 0.4292793571949005, 0.08417972922325134, 0.30462905764579773, -0.1972622275352478, 1.3488279581069946, 0.22997324168682098, -0.09631356596946716, 0.3238149881362915, 0.00324563542380929, 0.48150473833084106, -0.3112090826034546, 0.8011248111724854, -1.000167965888977, 1.2239832878112793, 0.5456047654151917, 0.4106525778770447, 0.666671872138977, 0.7855520844459534, 0.24083805084228516, 1.354491949081421, 0.002792731858789921, -1.8790010213851929, -0.7345491647720337, -0.7878183722496033, -0.7511608004570007, 0.9847264885902405]",2870
1005,834,"[0.044965650886297226, 0.02274053916335106, -0.21395786106586456, 0.07900331169366837, 0.3479122221469879, 0.007070871535688639, 0.027817940339446068, 0.04668514430522919, -0.12575583159923553, 0.0394228957593441, 0.2108420878648758, 0.2162645161151886, -0.32243767380714417, -0.3957466185092926, 0.15203581750392914, -0.0015270266449078918, 0.05885310471057892, 0.03788068890571594, -0.0421510748565197, 0.05530551075935364, 0.3408988416194916, 0.002584399888291955, 0.2133028507232666, -0.10930696874856949, 0.27913084626197815, 0.019713908433914185, -0.1559288501739502, -0.07088807970285416, -0.10995056480169296, 0.24385657906532288, 0.2742823660373688, 0.13013769686222076, -0.26594704389572144, 0.016667259857058525, 0.08906121551990509, -0.02137981727719307, 0.3385240435600281, 0.2877242863178253, -0.13582615554332733, 0.07551591843366623, -0.11886531114578247, 0.02375257946550846, 0.04605316370725632, -0.0053687915205955505, -0.010463869199156761, -0.10637838393449783, -0.28405439853668213, 0.015182393603026867, 0.15729261934757233, -0.06990442425012589, -0.17186538875102997, -0.05829520896077156, 0.1385006606578827, -0.11485449969768524, 0.4294670820236206, 0.07739096134901047, -0.23907794058322906, 0.16864067316055298, 0.24432820081710815, -0.2944718897342682, 0.08055625110864639, -0.2280799001455307, -0.3455863893032074, 0.10734573006629944]",3125
1006,80,"[-0.14324146509170532, -0.021381571888923645, 0.1407775729894638, 0.23280790448188782, 0.9212254881858826, 0.13359956443309784, -0.2229854017496109, 0.12512844800949097, -0.7495788931846619, -0.062144629657268524, 0.1983882039785385, 0.8033616542816162, -1.0516694784164429, -0.29423919320106506, 0.4437462389469147, 0.23422570526599884, 0.19156771898269653, -0.30037522315979004, -0.6252318024635315, -0.4784870743751526, 0.3865201473236084, 0.11249972879886627, 0.18901272118091583, -0.485472172498703, -0.34119299054145813, 1.061179280281067, -0.29493919014930725, 0.548456072807312, -0.09309011697769165, -0.1981174349784851, 0.09666808694601059, 0.9073198437690735, 0.3412156105041504, 0.2162485271692276, 0.556538999080658, -0.16914719343185425, -0.18111707270145416, 0.027942433953285217, 0.5988847613334656, -0.44287022948265076, 0.8258191347122192, 0.050638847053050995, 0.059952590614557266, 0.28693220019340515, 0.08394580334424973, -0.5540964007377625, -0.29921621084213257, 0.2834415137767792, 0.1603066474199295, -0.1912921667098999, -0.4951857626438141, -0.21295806765556335, 0.9556470513343811, 0.5401078462600708, 0.9752658605575562, 0.463403582572937, -0.5369325876235962, -0.3452076315879822, -0.2877706289291382, -0.1828475296497345, 0.3142198920249939, -0.8433602452278137, -0.041729822754859924, 0.23995892703533173]",1261
1007,546,"[-0.45717695355415344, -0.036589913070201874, -0.7629380226135254, -0.4539424180984497, 0.341047465801239, 0.29092586040496826, 0.04262443259358406, 0.0860653892159462, 0.3467448949813843, 0.10830084979534149, 0.3801543712615967, 0.33910635113716125, -0.02516314573585987, -0.5256826877593994, 0.6834641695022583, 0.20358429849147797, -0.105878546833992, 0.21186697483062744, -0.30207860469818115, 0.582788348197937, 0.10327432304620743, -0.5971412062644958, 0.14866025745868683, 0.3956693410873413, 0.21762238442897797, -0.03257563337683678, -0.277336061000824, -0.12747907638549805, 0.048756711184978485, 0.7654380798339844, 0.07692964375019073, -0.3040514588356018, -0.21434877812862396, 0.33116614818573, 0.09041070938110352, 0.17212525010108948, 0.3900874853134155, 0.20265315473079681, 0.005791875999420881, 0.08820438385009766, -0.5679119229316711, 0.2960370182991028, 0.0394100584089756, -0.20742879807949066, -0.5219113230705261, -0.17571809887886047, -0.23048679530620575, -0.6848655939102173, -0.24082383513450623, 0.08929282426834106, -0.13914287090301514, 0.0007853119750507176, 0.14394553005695343, -0.08522666245698929, 0.2385106384754181, 0.04349314793944359, -0.35692644119262695, 0.5210239291191101, 0.184041365981102, -0.5638064742088318, 0.6333751678466797, -0.6530585885047913, -0.02445239946246147, 0.14636676013469696]",1517
1008,457,"[-1.3590507507324219, 0.12272385507822037, -0.8789933919906616, 0.332999050617218, 0.7269044518470764, 0.7815898060798645, 0.0534285232424736, 0.4278884828090668, 0.14557012915611267, 0.3214532136917114, 0.5483555197715759, 1.0061818361282349, 0.46635791659355164, -1.9273433685302734, -0.9995505213737488, 0.950512707233429, -0.18635740876197815, 0.02124020643532276, 0.3095064163208008, -0.027367865666747093, 0.6045722961425781, -0.08824259787797928, -1.0245579481124878, -0.44958236813545227, 1.1707465648651123, 0.5100125074386597, -0.39602750539779663, 0.7371035814285278, -0.6389666795730591, 0.14148233830928802, 1.4707112312316895, 0.3023429811000824, 0.27632665634155273, -0.8554146885871887, 1.0188138484954834, 1.198350191116333, 0.19720597565174103, -0.012014197185635567, 0.19354666769504547, -0.39854419231414795, -0.2423054277896881, -0.0965273380279541, 0.5916650891304016, -0.5817789435386658, 0.21790626645088196, 0.6680799126625061, -0.8277661204338074, 1.6316325664520264, 0.07872072607278824, 0.5204932689666748, 0.8406760096549988, 0.7792830467224121, -0.1338442713022232, -0.8089131712913513, 0.8633716106414795, 0.7171294093132019, 0.40164580941200256, 0.13477478921413422, 0.6102524399757385, -0.2901536822319031, -1.2745598554611206, -0.7356119751930237, -0.5228481888771057, 0.1909029483795166]",380
1009,131,"[-0.2479223757982254, -0.14193736016750336, 0.013492018915712833, 0.8824778199195862, 0.8555535078048706, 0.16110774874687195, 0.19251060485839844, 0.5510687828063965, 0.1415102183818817, 0.41652029752731323, 0.6724513173103333, 0.2515937387943268, -0.4505171477794647, -0.061882134526968, -0.17370422184467316, -0.3930407464504242, -0.8870578408241272, 0.4816058278083801, 0.061306439340114594, 0.47999924421310425, 1.3348560333251953, -0.0059076156467199326, 0.2945753335952759, 0.3667483627796173, 0.6054926514625549, -0.22765403985977173, 0.21556107699871063, -0.07192230969667435, 0.20629748702049255, 0.5949881672859192, 0.9263238906860352, 0.5943235754966736, -0.6880833506584167, 0.27882668375968933, 0.21097610890865326, 0.15443702042102814, 0.578506588935852, 0.2521071434020996, 0.23778493702411652, 0.078858382999897, -0.2386174350976944, 0.07747280597686768, -0.1527111530303955, 0.3579789698123932, -0.15064924955368042, 0.1019151359796524, -0.262990266084671, 0.23470145463943481, 0.6019011735916138, -0.09989698976278305, 0.026976581662893295, -0.14544697105884552, 0.09161097556352615, -0.05815314128994942, 0.3458848297595978, 0.11752626299858093, -0.33120793104171753, 0.8391627669334412, 0.8727930784225464, -0.41046860814094543, -0.48751622438430786, -0.3502310812473297, -0.2159997671842575, 0.322229266166687]",3298
1010,80,"[0.6331096887588501, 0.8727206587791443, -0.2849943935871124, -1.4329537153244019, 1.494622826576233, -0.026912560686469078, -0.3637562096118927, -0.6171690821647644, -0.5531262755393982, -0.05308786779642105, 1.4281529188156128, 1.004518985748291, -1.7025842666625977, -0.47712481021881104, 0.338255375623703, -0.21378909051418304, -0.217660591006279, 0.2289336919784546, -0.5516965389251709, 0.5337863564491272, 0.6602123379707336, -0.7151744365692139, 0.31842273473739624, -0.6113947033882141, 0.06638315320014954, 0.49809008836746216, -0.39850422739982605, 0.21806049346923828, -0.8195714354515076, 0.4317362606525421, 0.37731292843818665, -0.016391649842262268, -0.5673984885215759, -0.2236994355916977, 1.0751020908355713, 1.2181243896484375, -0.6830320954322815, 0.35894131660461426, -0.23836764693260193, -0.9449657201766968, 1.0002243518829346, 1.3278299570083618, 0.7810136675834656, -0.10495865345001221, -0.3119617998600006, -0.49008306860923767, 0.012871540151536465, -0.1280006766319275, -0.659600019454956, 0.15266749262809753, -0.32972782850265503, -0.10129000246524811, 0.4363458752632141, 0.07168009132146835, 1.5962085723876953, 0.19358263909816742, 0.1396743804216385, -0.8150922060012817, -0.2362166792154312, -0.6543034315109253, 0.357637494802475, -1.4813796281814575, -0.2576952278614044, 0.770330011844635]",1261
